dataset,model,seed_mean,seed_std,emul_Pearson_r_mean,emul_Pearson_r_std,emul_Spearman_r_mean,emul_Spearman_r_std,emul_MAE_to_teacher_mean,emul_MAE_to_teacher_std,emul_RMSE_to_teacher_mean,emul_RMSE_to_teacher_std,emul_KL_teacher_to_model_mean,emul_KL_teacher_to_model_std,emul_JS_distance_mean,emul_JS_distance_std,emul_spectral_distance_mean,emul_spectral_distance_std,emul_autocorr_distance_mean,emul_autocorr_distance_std,observable_MSE_mean,observable_MSE_std,observable_Pearson_r_mean,observable_Pearson_r_std
AAPL,CeNN_Emulator,459.0,876.0585026126965,0.06858061477541924,0.01420498882155465,0.07258879496226193,0.012135602813438267,0.019634817168116568,0.00017188712284659847,0.02741737775504589,0.00020730290445841095,14.915472963453746,0.2477755919963034,0.6369267621928479,0.006486563462025449,0.7132496953010559,0.018601583011382785,0.32936748000260685,0.03765124576116724,0.1455821216106415,0.0059145684922524,0.6872641444206238,0.01814244763810197
AAPL,CeNN_NS,459.0,876.0585026126965,0.06755269765853882,0.01347671329998273,0.07139760000877945,0.015739800707834255,0.01963275745511055,0.00019053862127094536,0.02741886079311371,0.00021456691343882669,15.56163860490297,0.8457831753709365,0.6382607997942848,0.007621956097691257,0.7002820014953614,0.004703163364256929,0.27111504762069066,0.030819058947541233,0.14870766401290894,0.0046718247308152345,0.6800648331642151,0.0046008098140560335
ETTh1,CeNN_Emulator,459.0,876.0585026126965,0.9750644207000733,0.002853430413470195,0.9755946198804863,0.0035954158678983108,0.49919350147247316,0.11283798437993295,0.6392649292945862,0.11186292904628135,0.023149797041728874,0.01360219098876723,0.0715269947060969,0.02163019794488663,0.18558605909347534,0.020651438995528945,0.08605536088009236,0.041510251365854386,0.0026147376745939256,0.0009460855835380084,0.9947226643562317,0.002514730308039685
ETTh1,CeNN_NS,459.0,876.0585026126965,0.9722773432731628,0.0022476146965108947,0.9728757511025969,0.0026421111402723956,0.5457964062690734,0.03989048527580441,0.6913217902183533,0.035530110103107075,0.026249175587707473,0.005505156493781297,0.07921768311028385,0.009328811532505392,0.190300652384758,0.010138351920320362,0.0907477714495376,0.02969131810597459,0.004010097729042173,0.0008738651501851067,0.9920333027839661,0.00288271412472332
ETTm2,CeNN_Emulator,459.0,876.0585026126965,0.16408660486340523,0.11329875565895188,0.3169340315881808,0.0761209585909469,119.73609199523926,227.92067612018897,274.5062473297119,524.6801240546054,7.250812064551795,3.0509154787467234,0.38963272390795917,0.06709547522063927,0.8918645501136779,0.19517422471669266,1.1958139349082426,0.5504336009681786,0.04477041140198708,0.02162388582515001,0.9089642524719238,0.060393490140803245
ETTm2,CeNN_NS,459.0,876.0585026126965,0.11373564973473549,0.13105136048312618,0.2692433726796561,0.16038019448851015,119.85172309875489,228.3058231239153,274.75400695800784,525.4143849172635,7.252274821153169,2.8058068484072187,0.3851750907527675,0.06983760734587573,0.8952325940132141,0.1913531726068448,1.6161629759930167,0.7699475110311734,0.03750348314642906,0.010409903453315668,0.9282381772994995,0.023008420170608432
Energy,CeNN_Emulator,459.0,876.0585026126965,0.978437077999115,0.0025631694586407687,0.9780256040493376,0.0010945529031000443,966.22158203125,21.552742174801356,1460.263134765625,92.7180991471615,0.04310767326178189,0.019987007509440713,0.0399687144246231,0.0049845376070841085,0.18978940844535827,0.0177405496115383,0.043903039359208744,0.021888936742153815,0.0061675944365561005,0.0006019661630093965,0.9886340975761414,0.0011298790541834475
Energy,CeNN_NS,459.0,876.0585026126965,0.975564181804657,0.002615964989225278,0.9750085130751996,0.0018548695121751164,1046.3036376953125,48.858204344317244,1549.83583984375,89.73885119773641,0.05486706420480184,0.003759606674755616,0.04385212681313459,0.0030561528578687725,0.19878413081169127,0.01237893076275696,0.07241201762109362,0.040631241631669354,0.0076024806126952175,0.0008196017746442901,0.985982608795166,0.0014212660982808427
ExchangeRate,CeNN_Emulator,459.0,876.0585026126965,0.17578306794166565,0.29585745933011637,0.2596540698157568,0.29418073738743744,0.7042244464159012,0.7802660307964358,1.4639693826436997,1.5489353685092333,9.369105464136542,3.8295976073005975,0.4424878137149547,0.058232909612256134,0.8693333387374877,0.19128103121275442,2.867425497141704,1.739958507324143,0.05798189602792263,0.04439764872586823,0.905145525932312,0.0647211043416365
ExchangeRate,CeNN_NS,459.0,876.0585026126965,0.1688424289226532,0.3120861666034817,0.2540665353859369,0.29436681389928,0.7039652287960052,0.7799681014341227,1.463460087776184,1.548810364562193,9.156499521814819,4.0265385261439315,0.44277673003114526,0.05892026269021359,0.8999521851539611,0.1962961785980212,2.956647036903199,1.6167325083229276,0.06833901703357696,0.0648182035707997,0.8917261004447937,0.09122310910936637
Jena,CeNN_Emulator,459.0,876.0585026126965,0.4984232306480408,0.16524593437127955,0.683685595427239,0.14601349819541212,3.4270442008972166,1.9916373434199848,7.000731754302978,3.7434018373164357,1.9916164560237255,1.0902854187042375,0.23194259705389803,0.07045045946611925,0.9064370512962341,0.09075793609987584,2.011140612001087,0.4621056222949537,0.002710653771646321,0.0017430611986181091,0.9948115706443786,0.0030477300778327765
Jena,CeNN_NS,459.0,876.0585026126965,0.4950920581817627,0.16153096907047104,0.6823612782925873,0.14222487514453555,3.3706794500350954,1.9007961126456558,6.990875720977783,3.7055388954520034,2.1314078309006743,0.9584504160854419,0.22604991980232275,0.06446252930568185,0.9119629383087158,0.08980744808652982,2.0092434101051246,0.4589115394699915,0.002351029682904482,0.0010104249675182133,0.9954110383987427,0.0018517879947164743
