dataset,model,MASE,rank_MASE
AAPL,LSTM,0.7896113822905465,1.0
AAPL,Transformer,0.7923742400022682,2.0
AAPL,N-HiTS,0.7924755734763356,3.0
AAPL,MLP,0.7937516212936365,4.0
AAPL,CeNN_NS,0.7978580854758432,5.0
AAPL,N-BEATS,0.79832018080866,6.0
AAPL,CeNN_Emulator,0.7984485516028532,7.0
AAPL,MovingAverage,0.8169564268812131,8.0
AAPL,Persistence,1.1311578803118274,9.0
AAPL,QELM,1.4770114040629396,10.0
ETTh1,QELM,1.859265719094834,1.0
ETTh1,CeNN_Emulator,1.908415672056534,2.0
ETTh1,LSTM,1.9195472831188873,3.0
ETTh1,CeNN_NS,1.9258257670513408,4.0
ETTh1,MLP,1.9277611955179208,5.0
ETTh1,N-HiTS,1.9443635034155615,6.0
ETTh1,N-BEATS,1.9452372660961323,7.0
ETTh1,Transformer,1.988086882279355,8.0
ETTh1,Persistence,2.10728124036996,9.0
ETTh1,MovingAverage,2.180383585269055,10.0
ETTm2,MLP,6.341162541430433,1.0
ETTm2,N-HiTS,6.494349300441167,2.0
ETTm2,N-BEATS,6.853594513405294,3.0
ETTm2,LSTM,8.754049694243797,4.0
ETTm2,Transformer,9.961485296321552,5.0
ETTm2,Persistence,11.569015358770471,6.0
ETTm2,CeNN_NS,13.167443853450655,7.0
ETTm2,CeNN_Emulator,15.374266660275381,8.0
ETTm2,MovingAverage,15.63101246744954,9.0
ETTm2,QELM,535.1559193025143,10.0
Energy,CeNN_Emulator,1.6965106485373673,1.0
Energy,MLP,1.708653986774554,2.0
Energy,CeNN_NS,1.7176193968797673,3.0
Energy,N-HiTS,1.7193025285019132,4.0
Energy,N-BEATS,1.7376056992365256,5.0
Energy,QELM,1.7502583273823646,6.0
Energy,LSTM,1.7638503566448755,7.0
Energy,Transformer,1.8003304038011692,8.0
Energy,MovingAverage,4.460129376171919,9.0
Energy,Persistence,4.919672323039737,10.0
ExchangeRate,Persistence,3.598218646854119,1.0
ExchangeRate,N-BEATS,3.9319846182740767,2.0
ExchangeRate,N-HiTS,3.95056779730704,3.0
ExchangeRate,MLP,4.0702434054053445,4.0
ExchangeRate,MovingAverage,4.120046346035607,5.0
ExchangeRate,LSTM,4.932769444954525,6.0
ExchangeRate,Transformer,6.20470250030723,7.0
ExchangeRate,CeNN_Emulator,8.078797707623824,8.0
ExchangeRate,CeNN_NS,8.249853464005465,9.0
ExchangeRate,QELM,230.34643493317216,10.0
Jena,Transformer,4.417665867877768,1.0
Jena,MLP,4.678346353152868,2.0
Jena,N-HiTS,4.678950023147524,3.0
Jena,N-BEATS,4.72585667101243,4.0
Jena,LSTM,4.826840200416007,5.0
Jena,CeNN_NS,4.856549192192651,6.0
Jena,Persistence,4.968463082138345,7.0
Jena,CeNN_Emulator,5.483120001024047,8.0
Jena,MovingAverage,6.543771488974481,9.0
Jena,QELM,21.777753771648143,10.0
