dataset,model,MAE_mean,MAE_std,MAE_min,MAE_max,RMSE_mean,RMSE_std,RMSE_min,RMSE_max,MSE_mean,MSE_std,MSE_min,MSE_max,R2_mean,R2_std,R2_min,R2_max,MAPE_mean,MAPE_std,MAPE_min,MAPE_max,sMAPE_mean,sMAPE_std,sMAPE_min,sMAPE_max,WAPE_mean,WAPE_std,WAPE_min,WAPE_max,MASE_mean,MASE_std,MASE_min,MASE_max,RMSSE_mean,RMSSE_std,RMSSE_min,RMSSE_max,MdAE_mean,MdAE_std,MdAE_min,MdAE_max,P90AE_mean,P90AE_std,P90AE_min,P90AE_max,MaxAE_mean,MaxAE_std,MaxAE_min,MaxAE_max,Bias_mean,Bias_std,Bias_min,Bias_max,Pearson_mean,Pearson_std,Pearson_min,Pearson_max,Spearman_mean,Spearman_std,Spearman_min,Spearman_max,DirectionalAccuracy_mean,DirectionalAccuracy_std,DirectionalAccuracy_min,DirectionalAccuracy_max,fit_time_sec_mean,fit_time_sec_std,fit_time_sec_min,fit_time_sec_max,inference_ms_per_sample_mean,inference_ms_per_sample_std,inference_ms_per_sample_min,inference_ms_per_sample_max,param_count_mean,param_count_std,param_count_min,param_count_max
AAPL,CeNN_Emulator,0.013261186634828151,1.265439534066129e-05,0.013248593342441013,0.01327508722325295,0.018432613581742877,1.5830833803511278e-05,0.018413582750854574,0.018457178169665397,0.00033976144394609105,5.837290699485834e-07,0.00033906002972256905,0.00034066742598677294,-0.009047622175843362,0.0017335999729268885,-0.011738271866009953,-0.006964512491044905,148.2467785028823,4.196798470642792,142.0805074297816,152.06176960308406,169.2476063866913,0.6558918823085502,168.61826212325795,170.20578780734465,100.61568182200422,0.0960118163107574,100.52013360789584,100.72114879269107,0.7984485516028532,0.0007619139907604373,0.797690316586387,0.7992854981748184,0.8081050610320266,0.00069404031393824,0.8072707294985042,0.8091819982625678,0.009854735940461979,4.6700052610165434e-05,0.009808740258449689,0.009905049693770707,0.028703967179171747,0.00011650442817243446,0.028624640329508115,0.02890657778480091,0.10790749220177531,0.0007364916240563971,0.1070291274227202,0.1088516442105174,-0.0002984049757855554,2.5396763080166596e-05,-0.00032615106470981547,-0.0002648031211437769,0.010960065167813875,0.01116355640080072,-0.006703537532283758,0.02205160505501007,-0.002420866789049102,0.01021498605955072,-0.016098605874773686,0.008263845017549799,0.508994708994709,0.03522593812884469,0.47354497354497355,0.5661375661375662,0.9541966438293457,0.10227862852310034,0.841646671295166,1.1107232570648193,0.0049218929633892405,5.1205588531750266e-05,0.00484406001984127,0.0049840836297898065,46651.0,0.0,46651,46651
AAPL,CeNN_NS,0.013251379764371556,2.034586070264608e-05,0.013227470413589102,0.01327189233213081,0.01842833140741077,1.966435904896741e-05,0.018402917783022724,0.018454419872387592,0.0003396037078109757,7.247908557441251e-07,0.0003386673829286941,0.00034056561282637404,-0.008579166219744305,0.0021525352643587538,-0.011435899924645554,-0.005798402207567888,146.7055850530458,1.308011398926508,145.03577712332026,148.19175115987656,169.22476761409916,0.5318377071736038,168.48652004937625,169.75881015427086,100.54127483379858,0.15436873812452456,100.3598690744844,100.69690841681422,0.7978580854758432,0.0012250127727239674,0.7964185169796215,0.799093135586217,0.8079173260298986,0.0008621060707940518,0.8068031661525664,0.809061071624566,0.009789319572155364,5.9094949826465235e-05,0.009705945602036081,0.00986638234462589,0.02860445307102056,0.00011414011813571428,0.028454538714140658,0.028751378762535782,0.10846438691951335,0.001166472304243925,0.10683589847758412,0.11005090782418847,-0.0003094325643438806,2.841913419690324e-05,-0.00034355433193669654,-0.0002677928548207623,0.01172883430782243,0.011215317506402643,-0.0038508158977207927,0.02717185674687496,-0.001359506231052647,0.014020954171495896,-0.01883106423201591,0.019395563092185892,0.49682539682539684,0.03934601575148828,0.4497354497354497,0.5502645502645502,1.0783974647521972,0.36428874551720963,0.8511383533477783,1.7113854885101318,0.0050462742961903725,0.00010667905010730078,0.004898934137253534,0.005166997354497355,46651.0,0.0,46651,46651
AAPL,LSTM,0.013114412805332414,2.031190292078911e-06,0.013111281451384703,0.013116700296578614,0.018355184684986488,1.7238524558115765e-06,0.01835246064935345,0.01835687754039043,0.0003369128071972964,6.328123769896737e-08,0.0003368128118860668,0.0003369749530328907,-0.0005875388172676743,0.00018793710577305782,-0.0007721039253807405,-0.000290565653235042,116.87460607864821,0.5057503911322369,116.16845155249045,117.54271128720879,176.5028497734591,0.26990744587308274,176.03069216374644,176.69389237489992,99.50207492278788,0.015411109260083345,99.4783166181089,99.51943064650523,0.7896113822905465,0.00012229681938723597,0.7894228452393042,0.7897491108455114,0.8047104972030026,7.5575494914838e-05,0.8045910726313471,0.8047847137547387,0.009634598175762222,2.396445892069904e-05,0.009614851092919707,0.009673702152213082,0.02788756573107094,3.2995617724020405e-05,0.02784754019230605,0.0279270080907736,0.10661520888097584,0.00027830227055170297,0.10630726348608732,0.10691264132037759,-0.0002888580702247648,1.398733755706803e-05,-0.0002998744936182465,-0.00026481515796449284,-0.003926154026763868,0.005145705123864012,-0.008770959346858204,0.004179129617913779,-0.00017534712546875508,0.005152613905759774,-0.006177962816872357,0.007862261326605936,0.4973544973544973,0.00972019739199675,0.48412698412698413,0.5079365079365079,0.6132440090179443,0.05214492351196368,0.5527873039245605,0.6802985668182373,0.010930041156748616,0.00024979533702808483,0.010713067635026559,0.011286407551437458,70168.0,0.0,70168,70168
AAPL,MLP,0.013183176762662605,1.8164743895554206e-05,0.013152633482263207,0.013200496315864467,0.018379164024965606,8.0580698110952e-06,0.018369046561785347,0.018389775432921588,0.00033779372220258113,2.9620672314077714e-07,0.00033742187158903805,0.0003381838404732864,-0.003203742648690655,0.0008796957247012547,-0.004362343544809244,-0.0020993943358202927,129.37243979584633,3.5121372738998313,126.15121234455862,133.4112034624905,173.6956548849389,1.2132068073105093,172.4271107680482,175.50269824609157,100.02380292813737,0.13782010181300094,99.79206401463813,100.15521037320579,0.7937516212936365,0.0010936889626114105,0.7919126276449046,0.7947944218023117,0.8057617765515006,0.00035327420973803005,0.8053182163822108,0.8062269917764538,0.00971099712769501,6.223873722663217e-05,0.009641412005294114,0.009801336214877665,0.028393387836404153,0.00015786355404257357,0.02817530441679992,0.028580027562566102,0.10839444128796458,0.0007426006247933522,0.10721498215571046,0.10910843033343554,-0.00040464109532663706,5.887283258898063e-05,-0.00046772095912054625,-0.0003236556719058032,0.01923594196209388,0.009552464206007123,0.009750563077715192,0.029154638727332892,0.005916341886703537,0.007412555797880784,-0.0033506368494305976,0.016074391635091792,0.5116402116402117,0.014319966775369689,0.4973544973544973,0.5317460317460317,0.34925389289855957,0.028762457463664105,0.3177626132965088,0.38558101654052734,0.0033540069741546793,0.00023657833517479245,0.0030761042599955564,0.0036753043926582136,25880.0,0.0,25880,25880
AAPL,MovingAverage,0.01356857824796058,0.0,0.01356857824796058,0.01356857824796058,0.018763142365230138,0.0,0.018763142365230138,0.018763142365230138,0.00035205551141789397,0.0,0.00035205551141789397,0.00035205551141789397,-0.04555941528930929,0.0,-0.04555941528930929,-0.04555941528930929,231.7622116119738,0.0,231.76221161197384,231.76221161197384,147.63663986794216,0.0,147.63663986794216,147.63663986794216,102.94793289374897,0.0,102.94793289374897,102.94793289374897,0.8169564268812131,0.0,0.8169564268812132,0.8169564268812132,0.8225957886528439,0.0,0.822595788652844,0.822595788652844,0.010118482721736655,0.0,0.010118482721736655,0.010118482721736655,0.028047411557054154,0.0,0.02804741155705415,0.02804741155705415,0.10403636825503781,0.0,0.10403636825503781,0.10403636825503781,0.0002303547028723075,0.0,0.0002303547028723075,0.0002303547028723075,0.0633042367422528,0.0,0.0633042367422528,0.0633042367422528,0.034318601270439605,0.0,0.034318601270439605,0.034318601270439605,0.0,0.0,0.0,0.0,2.002716064453125e-06,3.615796777749801e-07,1.430511474609375e-06,2.384185791015625e-06,0.00019287936901920055,5.387800930725696e-05,0.0001469617167477885,0.0002699554281890708,0.0,0.0,0,0
AAPL,N-BEATS,0.013259054563755016,4.0541955743008115e-05,0.01320217527753406,0.013297337999614767,0.018413144594508803,3.2162631981455105e-05,0.018363853622483665,0.018443377099105103,0.00033904472140620543,1.1838262780640059e-06,0.0003372311198680064,0.0003401581588197946,-0.006919048767890112,0.0035158112029313056,-0.010225814131184396,-0.0015328863521670844,149.58708816707895,2.486025445051361,146.82554712746247,152.80454274807224,168.29136173201962,0.3738325331187649,167.92858445961784,168.7795936471681,100.59950530698913,0.30760116962437817,100.16794904266204,100.88997056530933,0.79832018080866,0.0024410082395745587,0.7948955111354309,0.800625204842657,0.807251520265968,0.0014100434300900256,0.8050905524911022,0.808576944892465,0.009901880129473285,0.00010917619794834459,0.00975303043378517,0.0100353887246456,0.028672597833210613,0.0001138896227499213,0.028595295076956986,0.02887243512086571,0.10823495166841894,0.0014622146711614702,0.10619525832589716,0.10999414511024952,-0.0003528777604701268,0.00012893933128009855,-0.0005033165811258666,-0.00017762291517337198,0.03323946718180496,0.009920083031226682,0.026160474797559997,0.04998235757894787,0.010462505347573845,0.005179540185476684,0.007000644938112271,0.019498391130994438,0.5142857142857143,0.013041013273932544,0.4973544973544973,0.5291005291005291,0.4769462585449219,0.005104155479635458,0.4696190357208252,0.48261308670043945,0.004078345323996569,4.769681266009723e-05,0.004031670787347057,0.004154664498788339,96216.0,0.0,96216,96216
AAPL,N-HiTS,0.013161983276587361,1.321895266866298e-05,0.013142753299344632,0.013179622991510303,0.018354019158729997,5.569688339213275e-06,0.018345103080528523,0.01836012871272747,0.00033687004409617036,2.044312725060433e-07,0.0003365428070352171,0.00033709432634791963,-0.00046053792803515405,0.0006071344853754332,-0.0011266272588179582,0.0005113138936657657,124.06426178882961,1.8636036716151787,122.42520247642203,127.1622339286289,176.60814312149316,0.7656856412238954,175.45831184117577,177.4027511305818,99.86300306079781,0.10029524297902795,99.7171007878732,99.9968396466925,0.7924755734763356,0.0007959056683721176,0.7913177474159974,0.7935376507412705,0.8046593993127082,0.0002441809630158979,0.8042685091176084,0.8049272485509138,0.009674963296856732,2.859479335449477e-05,0.009639043913921341,0.009715942840557545,0.02818754204316065,5.182240538007241e-05,0.028151908231666318,0.02827701962087304,0.10671011721715332,0.0006110398676400933,0.10567717882804573,0.1072036640252918,-0.00037839273515025384,3.0326601264704662e-05,-0.0004215785978808839,-0.0003503950312759315,0.026637895640356946,0.006343702988098762,0.018786058912933182,0.033750750699584275,0.008316836367586098,0.00694724998656903,0.0008398615711111458,0.01706406706145522,0.5100529100529101,0.028578776245092932,0.47619047619047616,0.544973544973545,0.5395384788513183,0.0801185192828358,0.46564269065856934,0.6720333099365234,0.004264160438820168,0.00018890841112244317,0.004145834181043837,0.004599334070922206,69960.0,0.0,69960,69960
AAPL,Persistence,0.018787053635652362,0.0,0.018787053635652362,0.018787053635652362,0.025598364315850587,0.0,0.025598364315850584,0.025598364315850584,0.0006552762556470126,0.0,0.0006552762556470126,0.0006552762556470126,-0.9460858770479545,0.0,-0.9460858770479545,-0.9460858770479545,598.9437461220148,0.0,598.9437461220148,598.9437461220148,145.05875468230286,0.0,145.05875468230286,145.05875468230286,142.54170935301232,0.0,142.54170935301232,142.54170935301232,1.1311578803118274,0.0,1.1311578803118274,1.1311578803118274,1.1222590690161114,0.0,1.1222590690161114,1.1222590690161114,0.014097772247623652,0.0,0.014097772247623652,0.014097772247623652,0.040694182191509776,0.0,0.040694182191509776,0.040694182191509776,0.17297694832086563,0.0,0.17297694832086563,0.17297694832086563,0.00023760017684189234,0.0,0.00023760017684189237,0.00023760017684189237,0.015935065541890316,0.0,0.015935065541890316,0.015935065541890316,0.003708538798379945,0.0,0.003708538798379945,0.003708538798379945,0.0,0.0,0.0,0.0,3.1948089599609376e-06,4.3310885726415996e-07,2.6226043701171875e-06,3.5762786865234375e-06,7.543614301731978e-05,5.193535953662729e-06,6.74888570472677e-05,8.199580762752149e-05,0.0,0.0,0,0
AAPL,QELM,0.024531228532794325,0.000210102408184665,0.024328806779238068,0.024835149883486576,0.032940890019674485,0.0003014578070022053,0.0326960732518692,0.03343357675272521,0.0010851749367358123,1.994066785245872e-05,0.0010690332060915963,0.0011178040544803675,-2.222829455986866,0.05922120899719947,-2.319733722967386,-2.1748906000202264,818.9589416059739,17.004290654717856,797.1273259630151,842.6884616708365,148.52706374789366,0.6137638142102881,147.7229403335564,149.02786571997981,186.1240892482538,1.594095433090865,184.58826871344743,188.43001063841464,1.4770114040629396,0.012650147239669837,1.4648237046970753,1.4953103368012886,1.44416307658967,0.013216225601744763,1.4334300533962085,1.4657629783461945,0.018687619821866973,0.00012703493458215574,0.01850740215741098,0.018845862243324518,0.05310434197541327,0.0008648022353708624,0.052207089192234,0.054185399319976575,0.190660990960896,0.013040646873153768,0.17048023641109467,0.20674702525138855,-0.0009202934552604748,0.0003120961716742786,-0.0012212593810288865,-0.0005495118238554398,0.007285756502567742,0.008962412886629932,-0.007490689937152312,0.014575230467482178,-0.0009086099571721981,0.007326853918608079,-0.012129384506652519,0.005022480811864023,0.4931216931216931,0.029076469130230886,0.4708994708994709,0.5396825396825397,0.04506101608276367,0.0009989551625518864,0.04336833953857422,0.0458989143371582,0.019854717153720756,0.014006216345361026,0.0051777198831871075,0.040683796796849164,49664.0,0.0,49664,49664
AAPL,Transformer,0.013160300260055782,1.772546243187022e-05,0.013139316003438792,0.013179674945229,0.018400086902564207,1.0743746862560036e-05,0.018388201136029226,0.018416145725814088,0.0003385632903643921,3.95423348551087e-07,0.0003381259410190665,0.0003391544233944205,-0.005489260730903611,0.0011743562923861,-0.007244849509347784,-0.004190389641131054,132.36515887762468,1.5739609557236764,130.5464718745695,134.7293177031278,172.62763026894214,0.5749761525608225,171.90378418965793,173.31343249455549,99.85023362616835,0.13448717202343433,99.69102123098936,99.99723383153987,0.7923742400022682,0.0010672400739800965,0.791110789772385,0.7935407788453073,0.8066790573919956,0.0004710171010518785,0.8061579729538846,0.8073830930017534,0.009586955897975712,3.8909866042318774e-05,0.009546150220558047,0.009651635395130143,0.02832945509348065,5.161880344824038e-05,0.02829353628330864,0.028418903041165334,0.10730018937028944,0.0003011221496995248,0.10694144875742495,0.10774876177310944,-0.0003476192812391237,0.00013056580534946251,-0.000532461768452905,-0.00019935609618838544,0.0008812746188512626,0.0023973814638437213,-0.002614919219761363,0.0033472542247510637,0.002199586769740794,0.003217425358277558,-0.0011455895892327017,0.0071860091565677416,0.517989417989418,0.01314790861353354,0.5026455026455027,0.5317460317460317,2.711478090286255,0.47927469693950137,2.1840741634368896,3.4786617755889893,0.018213917969395876,0.0004529379753029812,0.017765968564956908,0.01883759069695044,274712.0,0.0,274712,274712
