dataset,variant,validation_mode,RMSE,MAE,MASE,sMAPE,MAPE,R2,emu_pearson_r,emu_pearson_pval,emu_kl_div,emu_spectral_dist,emu_autocorr_dist,emu_feature_mse,emu_mean_qubit_corr,train_time_s
energy,data_only,forecast,0.0927729681134224,0.07388096302747726,0.16964472129818395,23.75629997253418,36.26701736450195,0.9822471737861633,0.34540194272994995,0.0,0.6051138609092019,2.843235051841475e-05,0.02738601677234681,0.05106072127819061,,58.0309905109998
energy,balanced_NS,forecast,0.09279555827379227,0.07389023900032043,0.16966602069336323,23.77928352355957,36.16952896118164,0.9822385311126709,0.3463008999824524,0.0,0.6050974622735421,2.8425949494703673e-05,0.02735779305420677,0.06614124774932861,0.012014709785580635,57.7537682279999
energy,dedicated_emulator,emulation,0.39679959416389465,0.3220914304256439,0.7395830902579065,65.97349548339844,87.98506927490234,0.675236165523529,0.5880331993103027,0.0,1.2950436752972052,1.596257061464712e-05,0.019242459460379557,0.06806492060422897,0.034223904833197594,20.378516947000207
energy,distill_only,forecast,0.1609058529138565,0.13069705665111542,0.30010526178205554,33.312355041503906,45.13431930541992,0.946596622467041,0.4206259548664093,0.0,0.6712041398607134,2.4873175789252855e-05,0.026946637009867103,0.05106072127819061,,39.623710320999635
energy,emulation_only_strong,emulation,0.8629727959632874,0.7312960028648376,1.6791944975912352,185.7931671142578,105.45532989501953,-0.5360997915267944,-0.0014620654983446002,0.6982779159254884,12.496756851451481,5.338190385373309e-05,0.6856098580433563,0.06845914572477341,-0.03868715036660433,13.224388038999678
energy,distill_plus_emulation,emulation,0.2782592475414276,0.21576757729053497,0.4954433322833615,44.64665222167969,68.10633850097656,0.8402928113937378,0.47804105281829834,0.0,0.8746154641791647,2.300797677889932e-05,0.017242691101100827,0.06701771914958954,-0.01907293274998665,13.067379268999503
energy,spectral_autocorr,forecast,0.09900669753551483,0.0790456086397171,0.1815037284035253,24.570955276489258,36.57652282714844,0.9797812700271606,0.3648417592048645,0.0,0.5718295615205728,2.7763979232986458e-05,0.025013752915309884,0.06531617045402527,0.007621262143948116,36.21977756100023
energy,smoothness_only,forecast,0.09277810901403427,0.07388442009687424,0.16965265938602586,23.757558822631836,36.25884246826172,0.9822452068328857,0.3453884422779083,0.0,0.6050935946683205,2.8431823011487722e-05,0.027301865841786843,0.05106072127819061,,58.19412388599994
aapl,data_only,forecast,0.0005213523400016129,0.00045550777576863766,0.01513920768246977,4.091659069061279,4.079580307006836,-1910597.75,,,18.4206777164004,5.689761383109726e-05,,0.045844703912734985,,63.26269630800016
aapl,balanced_NS,forecast,0.00025572447339072824,0.00021366015425883234,0.007101186018909889,1.908015489578247,1.9135648012161255,-459674.46875,,,3.178069448711812,5.689740282832645e-05,,0.13053566217422485,,86.11667400600072
aapl,dedicated_emulator,emulation,0.00948746595531702,0.007419091649353504,0.24658013599286885,78.220458984375,66.44624328613281,-632713664.0,,,18.420678743254825,5.689773024641909e-05,,0.12766854465007782,,14.723017930999958
aapl,distill_only,forecast,0.0008955331286415458,0.0007086819969117641,0.023553678999157265,6.140947341918945,6.3470377922058105,-5637285.5,,,3.178050511310466,5.68976865906734e-05,,0.045844703912734985,,64.71390639100082
aapl,emulation_only_strong,emulation,0.018357109278440475,0.015193959698081017,0.5049848183166002,157.85421752929688,136.07884216308594,-2368728832.0,,,2.484904754530722,5.689773024641909e-05,,0.12754188477993011,,14.655375633999938
aapl,distill_plus_emulation,emulation,0.0032560904510319233,0.0028055182192474604,0.09324390326042027,27.990705490112305,25.126543045043945,-74524600.0,,,3.1780518701329097,5.689772297046147e-05,,0.12759454548358917,,14.584355826999854
aapl,spectral_autocorr,forecast,0.006088181398808956,0.005122457165271044,0.1702494380885893,51.42348861694336,45.87731170654297,-260544496.0,,,3.1780510191863183,5.6897719332482666e-05,,0.1305154711008072,,15.66763618099958
aapl,smoothness_only,forecast,0.0005479997489601374,0.00047747467760927975,0.015869297280928837,4.276317119598389,4.276318550109863,-2110898.5,,,3.1780595771271973,5.689773024641909e-05,,0.045844703912734985,,65.35527225599981
jena,data_only,forecast,0.19252537190914154,0.15396831929683685,0.35671924348159373,39.785560607910156,79.5998764038086,0.923298716545105,0.29288575053215027,0.0,0.6321135029381046,2.8809861760237254e-05,0.018935688908939596,0.05080173909664154,,69.99793240599956
jena,balanced_NS,forecast,0.1925254464149475,0.15397877991199493,0.3567434790044765,39.794918060302734,79.39002227783203,0.9232986569404602,0.29346075654029846,0.0,0.6309060035482799,2.880207830457948e-05,0.018845374566827333,0.06663437932729721,-0.030357379093766214,69.30885136899997
jena,dedicated_emulator,emulation,0.41755151748657227,0.33385738730430603,0.7734925936311118,67.7890396118164,98.25731658935547,0.6392163634300232,0.49641019105911255,0.0,0.9827700001495143,1.8645891032065265e-05,0.0024880196206609195,0.06888632476329803,-0.02693077609874308,22.911618450000788
jena,distill_only,forecast,0.22327788174152374,0.17850272357463837,0.4135614183732744,43.50861740112305,76.00080108642578,0.8968384265899658,0.34245872497558594,0.0,0.6345566677273301,2.6347113816882484e-05,0.009132396329190051,0.05080173909664154,,32.377651527000125
jena,emulation_only_strong,emulation,0.8617743253707886,0.7288399338722229,1.6886021164447138,199.99996948242188,100.0,-0.5367875099182129,,,14.402702566379213,3.929200101993047e-05,,0.06953954696655273,-0.03902280628681183,25.80895844100087
jena,distill_plus_emulation,emulation,0.3253909945487976,0.26012083888053894,0.6026571523481563,55.244873046875,84.04185485839844,0.7809023857116699,0.39556223154067993,0.0,0.743470881715962,2.351707371417433e-05,0.011385060964526517,0.06964191049337387,-0.038739255629479885,14.651499509999667
jena,spectral_autocorr,forecast,0.1938709020614624,0.15510989725589752,0.3593640916412096,39.893470764160156,78.35398864746094,0.9222228527069092,0.3028520941734314,0.0,0.6597773889964473,2.8428796213120222e-05,0.014237017531132157,0.06646263599395752,-0.027564257837366313,40.449461123999754
jena,smoothness_only,forecast,0.19251509010791779,0.15396000444889069,0.3566999793480202,39.783653259277344,79.59326171875,0.923306941986084,0.29290348291397095,0.0,0.6322134996986734,2.8807306080125272e-05,0.01888105237913784,0.05080173909664154,,69.70299024499946
