dataset,metric,slope,intercept,R2_linear
energy,n_params,366.85501066098067,-14255.641791044756,0.9669826274432067
energy,train_time_s,6.000157534369317e-06,0.054850507242574786,0.004430956569630662
energy,latency_ms_per_sample,-2.0288496078345385e-07,0.0047758231933858865,0.3179497303539798
aapl,n_params,366.85501066098067,-14255.641791044756,0.9669826274432067
aapl,train_time_s,7.099423602430889e-07,0.020694817641846917,0.47674154166520044
aapl,latency_ms_per_sample,3.7742089623643164e-07,0.004663045329314922,0.8698521566978328
jena,n_params,366.85501066098067,-14255.641791044756,0.9669826274432067
jena,train_time_s,1.0086612436031043e-06,0.020990893258316764,0.33739876777132605
jena,latency_ms_per_sample,1.948020828538811e-07,0.004747733558358985,0.12551432636169446
mackey_glass,n_params,366.85501066098067,-14255.641791044756,0.9669826274432067
mackey_glass,train_time_s,9.784815653847657e-07,0.02119753212482848,0.4594150743151343
mackey_glass,latency_ms_per_sample,2.1296210222123034e-07,0.004792470761067741,0.17940864756175168
