dataset,n_cells,rep,n_params,train_time_s,latency_ms_per_sample,peak_gpu_mb
energy,16,0,3016,0.15463473349996093,0.0046748550779796005,21.373952
energy,16,1,3016,0.020664644999897064,0.004687819140869465,21.427712
energy,16,2,3016,0.020475767000107226,0.004655421875554566,21.427712
energy,32,0,5016,0.14431701324997448,0.00479108281261631,21.755904
energy,32,1,5016,0.02095428699999502,0.004713002734391125,21.76256
energy,32,2,5016,0.02117285474992059,0.00486899062508428,21.76256
energy,64,0,9016,0.1477516142499553,0.004758809765803562,22.421504
energy,64,1,9016,0.020707126250044894,0.004803429296629247,22.432256
energy,64,2,9016,0.020450118750204638,0.0047962343749929914,22.432256
energy,128,0,21912,0.020747880250155504,0.004752202343993872,23.8848
energy,128,1,21912,0.021149572250124038,0.004896776952989512,23.903744
energy,128,2,21912,0.02122792875002233,0.004749983202501085,23.903744
energy,256,0,59992,0.14297209125015797,0.004779416796907299,26.976768
energy,256,1,59992,0.020567325999991226,0.00474388867210962,27.01312
energy,256,2,59992,0.020699823749964708,0.004760332422293345,27.01312
energy,512,0,185304,0.14515511499985223,0.004626831639598095,33.752064
energy,512,1,185304,0.020696391749879695,0.0046360871092332445,33.823232
energy,512,2,185304,0.021109318000071653,0.0046561285159896215,33.823232
aapl,16,0,3016,0.020816858250100267,0.004688814453146506,24.689152
aapl,16,1,3016,0.02068021250011043,0.004762278125269859,21.427712
aapl,16,2,3016,0.0204014374999133,0.0045828292972061035,21.427712
aapl,32,0,5016,0.021221221250016242,0.004693542577882681,21.755904
aapl,32,1,5016,0.02048143675006031,0.004731481250175307,21.76256
aapl,32,2,5016,0.02038246775009611,0.004660243359211336,21.76256
aapl,64,0,9016,0.020217719750007745,0.004725506250125022,22.421504
aapl,64,1,9016,0.021022254750050706,0.00464737695224926,22.432256
aapl,64,2,9016,0.020561883500022304,0.004726513671826638,22.432256
aapl,128,0,21912,0.02058016274986585,0.004591901171835389,23.8848
aapl,128,1,21912,0.02078489225004887,0.004787928906679895,23.903744
aapl,128,2,21912,0.021469876750188632,0.004587183594040312,23.903744
aapl,256,0,59992,0.02091941225012306,0.004767710156272642,26.976768
aapl,256,1,59992,0.02131153375012218,0.004787221874380521,27.01312
aapl,256,2,59992,0.020967853499996636,0.004744515233667812,27.01312
aapl,512,0,185304,0.02095872250015418,0.004745617968282545,33.752064
aapl,512,1,185304,0.02105163374994845,0.00482493515647775,33.823232
aapl,512,2,185304,0.02082400374979443,0.005020536719158031,33.823232
jena,16,0,3016,0.02129702975003056,0.004770694140532328,24.689152
jena,16,1,3016,0.020990659249946475,0.004748066796977923,21.427712
jena,16,2,3016,0.02113024050004242,0.004745442187825688,21.427712
jena,32,0,5016,0.021005340499868908,0.004785707422172436,21.755904
jena,32,1,5016,0.020413812500009954,0.004464474609378044,21.76256
jena,32,2,5016,0.021054103000096802,0.004801922656838542,21.76256
jena,64,0,9016,0.02076937950005231,0.00462894882851117,22.421504
jena,64,1,9016,0.021047299999963798,0.00470816601634283,22.432256
jena,64,2,9016,0.020320152750173293,0.004643678125404449,22.432256
jena,128,0,21912,0.02099742724999487,0.004886531249681525,23.8848
jena,128,1,21912,0.022256531000039104,0.005036951171888404,23.903744
jena,128,2,21912,0.021013866750081434,0.00477178906237441,23.903744
jena,256,0,59992,0.02122854999993251,0.004645418359672249,26.976768
jena,256,1,59992,0.021160062500030108,0.004765385156346724,27.01312
jena,256,2,59992,0.02214774625008431,0.005311565624666059,27.01312
jena,512,0,185304,0.021990167750118417,0.00482189453059334,33.752064
jena,512,1,185304,0.020976253749950047,0.004797882812468401,33.823232
jena,512,2,185304,0.021087647249942165,0.004713766797337371,33.823232
mackey_glass,16,0,3016,0.02116400449995126,0.004835950781867382,24.689152
mackey_glass,16,1,3016,0.021051389250033026,0.004701182422195416,21.427712
mackey_glass,16,2,3016,0.021075315999951272,0.004883181641091028,21.427712
mackey_glass,32,0,5016,0.021260646750079104,0.004665418750349204,21.755904
mackey_glass,32,1,5016,0.02162537675008025,0.004808541406120526,21.76256
mackey_glass,32,2,5016,0.02107602750015758,0.004807398437733923,21.76256
mackey_glass,64,0,9016,0.021308285500026614,0.00472440546879227,22.421504
mackey_glass,64,1,9016,0.020676480500014804,0.004591594140634925,22.432256
mackey_glass,64,2,9016,0.02123316550000709,0.004760130078906855,22.432256
mackey_glass,128,0,21912,0.02100822950001202,0.004931516016171145,23.8848
mackey_glass,128,1,21912,0.021629254749996107,0.004825021875021207,23.903744
mackey_glass,128,2,21912,0.02139954100016439,0.005025842578021411,23.903744
mackey_glass,256,0,59992,0.021442127499994967,0.004639057812383385,26.976768
mackey_glass,256,1,59992,0.021884360500052935,0.005249575390209316,27.01312
mackey_glass,256,2,59992,0.022058280999999624,0.004921463281348792,27.01312
mackey_glass,512,0,185304,0.021949006000113513,0.004883984765768901,33.752064
mackey_glass,512,1,185304,0.02153708299988466,0.0048828101558484605,33.823232
mackey_glass,512,2,185304,0.021135931000117125,0.004771396093872227,33.823232
