dataset,seed,layers,alpha,label,val_rmse,val_mase,naive_val_rmse,naive_val_mase,ratio_to_naive,rank,teacher_reliable
energy,42,3,0.0001,L3_a0.0001,1.0172466039657593,2.018023729324341,0.5365511178970337,1.0027934312820435,2.0124022220053375,1,False
energy,42,3,0.001,L3_a0.001,1.0172466039657593,2.018023729324341,0.5365511178970337,1.0027934312820435,2.0124022220053375,2,False
energy,42,3,0.01,L3_a0.01,1.0172467231750488,2.018024206161499,0.5365511178970337,1.0027934312820435,2.012402697514194,3,False
energy,42,3,0.1,L3_a0.1,1.0172477960586548,2.0180270671844482,0.5365511178970337,1.0027934312820435,2.0124055505673355,4,False
energy,42,1,0.0001,L1_a0.0001,1.0297890901565552,2.050520896911621,0.5365511178970337,1.0027934312820435,2.0448088638654993,5,False
energy,42,1,0.001,L1_a0.001,1.0297890901565552,2.050520896911621,0.5365511178970337,1.0027934312820435,2.0448088638654993,6,False
energy,42,1,0.01,L1_a0.01,1.0297892093658447,2.0505213737487793,0.5365511178970337,1.0027934312820435,2.0448093393743565,7,False
energy,42,1,0.1,L1_a0.1,1.0297913551330566,2.0505270957946777,0.5365511178970337,1.0027934312820435,2.044815045480639,8,False
energy,42,4,0.0001,L4_a0.0001,1.0316922664642334,2.070873498916626,0.5365511178970337,1.0027934312820435,2.0651047706495964,9,False
energy,42,4,0.001,L4_a0.001,1.0316922664642334,2.070873498916626,0.5365511178970337,1.0027934312820435,2.0651047706495964,10,False
energy,42,4,0.01,L4_a0.01,1.0316925048828125,2.070873737335205,0.5365511178970337,1.0027934312820435,2.0651050084040246,11,False
energy,42,4,0.1,L4_a0.1,1.0316942930221558,2.0708792209625244,0.5365511178970337,1.0027934312820435,2.065110476755879,12,False
energy,42,2,0.0001,L2_a0.0001,1.0912532806396484,2.203108549118042,0.5365511178970337,1.0027934312820435,2.196971460315041,13,False
energy,42,2,0.001,L2_a0.001,1.091253399848938,2.203108549118042,0.5365511178970337,1.0027934312820435,2.196971460315041,14,False
energy,42,2,0.01,L2_a0.01,1.0912537574768066,2.2031097412109375,0.5365511178970337,1.0027934312820435,2.1969726490871833,15,False
energy,42,2,0.1,L2_a0.1,1.0912586450576782,2.2031209468841553,0.5365511178970337,1.0027934312820435,2.1969838235453203,16,False
aapl,42,1,0.0001,L1_a0.0001,0.0,0.0,0.0,0.0,0.0,1,True
aapl,42,1,0.001,L1_a0.001,0.0,0.0,0.0,0.0,0.0,2,True
aapl,42,1,0.01,L1_a0.01,0.0,0.0,0.0,0.0,0.0,3,True
aapl,42,1,0.1,L1_a0.1,0.0,0.0,0.0,0.0,0.0,4,True
aapl,42,2,0.0001,L2_a0.0001,0.0,0.0,0.0,0.0,0.0,5,True
aapl,42,2,0.001,L2_a0.001,0.0,0.0,0.0,0.0,0.0,6,True
aapl,42,2,0.01,L2_a0.01,0.0,0.0,0.0,0.0,0.0,7,True
aapl,42,2,0.1,L2_a0.1,0.0,0.0,0.0,0.0,0.0,8,True
aapl,42,3,0.0001,L3_a0.0001,0.0,0.0,0.0,0.0,0.0,9,True
aapl,42,3,0.001,L3_a0.001,0.0,0.0,0.0,0.0,0.0,10,True
aapl,42,3,0.01,L3_a0.01,0.0,0.0,0.0,0.0,0.0,11,True
aapl,42,3,0.1,L3_a0.1,0.0,0.0,0.0,0.0,0.0,12,True
aapl,42,4,0.0001,L4_a0.0001,0.0,0.0,0.0,0.0,0.0,13,True
aapl,42,4,0.001,L4_a0.001,0.0,0.0,0.0,0.0,0.0,14,True
aapl,42,4,0.01,L4_a0.01,0.0,0.0,0.0,0.0,0.0,15,True
aapl,42,4,0.1,L4_a0.1,0.0,0.0,0.0,0.0,0.0,16,True
jena,42,3,0.0001,L3_a0.0001,1.0272001028060913,2.0660669803619385,0.5365803837776184,1.011016845703125,2.043553467128498,1,False
jena,42,3,0.001,L3_a0.001,1.0272001028060913,2.0660669803619385,0.5365803837776184,1.011016845703125,2.043553467128498,2,False
jena,42,3,0.01,L3_a0.01,1.0272003412246704,2.0660672187805176,0.5365803837776184,1.011016845703125,2.043553702949078,3,False
jena,42,3,0.1,L3_a0.1,1.027201771736145,2.0660715103149414,0.5365803837776184,1.011016845703125,2.0435579477195205,4,False
jena,42,1,0.0001,L1_a0.0001,1.0450661182403564,2.1169497966766357,0.5365803837776184,1.011016845703125,2.0938818237043075,5,False
jena,42,1,0.001,L1_a0.001,1.0450661182403564,2.116950035095215,0.5365803837776184,1.011016845703125,2.0938820595248875,6,False
