dataset,model,seed,MAE,RMSE,MAPE,sMAPE,R2,training_time_sec,inference_latency_ms,n_parameters,epochs_ran,best_val_loss
energy,CeNN,42,463.8836975097656,631.4436336681208,1.7362051010131836,1.7336530685424805,0.9829663634300232,23.402273715000092,0.002165896118544858,4545,41,0.01766118181071111
energy,CeNN,43,469.1933288574219,635.017986949976,1.706959843635559,1.6998963356018066,0.982772946357727,26.494547345,0.0021820536529684096,4545,47,0.018131431225421175
energy,CeNN,44,464.16973876953125,628.664233713037,1.7443385124206543,1.7379056215286255,0.9831159710884094,27.188889721000123,0.0022552283103966842,4545,48,0.016047706428383077
energy,CeNN,45,451.9091796875,626.624364152879,1.6773555278778076,1.6783442497253418,0.983225405216217,19.87876097299977,0.002171615296881254,4545,35,0.018462373841820017
energy,CeNN,46,423.4850158691406,613.2059706982639,1.5748087167739868,1.5698554515838623,0.983936071395874,27.67707289200007,0.0022703881278345957,4545,49,0.017999669669994285
energy,CeNN_DenseAblation,42,507.9480285644531,659.7724276218278,1.894310712814331,1.878553867340088,0.9814037084579468,12.104130184000041,0.0017557385846478164,12097,35,0.019000849669932256
energy,CeNN_DenseAblation,43,634.70947265625,795.9078935404523,2.474707841873169,2.429910659790039,0.9729377627372742,9.612308798999948,0.0016092123289467445,12097,28,0.019171022676995823
energy,CeNN_DenseAblation,44,441.8194274902344,622.4525584331709,1.6308846473693848,1.63004469871521,0.9834479689598083,12.090285121000306,0.0015292762556001936,12097,35,0.017595041842599
energy,CeNN_DenseAblation,45,481.8151550292969,615.6112815730394,1.7738690376281738,1.7786245346069336,0.9838098287582397,12.043303980000019,0.0015302773969475918,12097,35,0.01804551395720669
energy,CeNN_DenseAblation,46,565.6806640625,725.2803768198888,2.152649402618408,2.1276512145996094,0.9775275588035583,10.389579857000172,0.0014921826481208238,12097,30,0.020062900048547556
energy,CeNN_NoRecurrentAblation,42,486.4248962402344,658.8209639196373,1.8241021633148193,1.81502103805542,0.9814572930335999,8.217771462999735,0.00032715410920547465,3841,50,0.01697603556593614
energy,CeNN_NoRecurrentAblation,43,561.1758422851562,740.5589949490858,2.100764513015747,2.0768871307373047,0.9765707850456238,4.630730700000186,0.00032497945182791165,3841,28,0.02002313919365406
energy,CeNN_NoRecurrentAblation,44,475.4667663574219,640.1994562243864,1.7736908197402954,1.7666515111923218,0.9824907183647156,5.694095253999876,0.0003680125570248841,3841,35,0.018523353451330746
energy,CeNN_NoRecurrentAblation,45,425.767333984375,612.0669132129265,1.595566987991333,1.5858162641525269,0.9839957356452942,8.209240692000094,0.0003485650685346727,3841,50,0.017019216253954386
energy,CeNN_NoRecurrentAblation,46,530.357421875,710.1947356183373,2.0041277408599854,1.9816190004348755,0.9784526824951172,5.329137004000131,0.0003332248856309207,3841,33,0.018667750659265687
aapl,CeNN,42,0.008351863361895084,0.0110777179716551,2.601886510848999,2.5788488388061523,0.9805305004119873,10.189619341000252,0.002157651826801406,4545,18,1.1347633403992015
aapl,CeNN,43,0.007985593751072884,0.010819389348208574,2.4625985622406006,2.45661997795105,0.9814279675483704,21.411048129999926,0.002146775114254038,4545,38,1.1585907528476258
aapl,CeNN,44,0.011049372144043446,0.013784509254384496,3.428351879119873,3.3547558784484863,0.9698535203933716,12.830436512999768,0.0021528002285428043,4545,23,1.078406221333093
aapl,CeNN,45,0.009689337573945522,0.012778474585790225,2.9173583984375,2.8743348121643066,0.9740933179855347,11.254595259000325,0.002276910958945964,4545,20,1.1509646267596898
aapl,CeNN,46,0.007672460284084082,0.010501619080537034,2.360100507736206,2.37347149848938,0.9825028777122498,23.33980976399971,0.0021565570775806528,4545,41,1.1558194029411035
aapl,CeNN_DenseAblation,42,0.007632829714566469,0.01060625176915668,2.3266005516052246,2.324395179748535,0.9821524620056152,6.215356383999733,0.0015148367579660863,12097,18,1.459394756554892
aapl,CeNN_DenseAblation,43,0.008059990592300892,0.010879878068887306,2.498441457748413,2.4758403301239014,0.9812197089195251,8.30545324500008,0.0015307831050723844,12097,24,1.3470047018324425
aapl,CeNN_DenseAblation,44,0.011412023566663265,0.014483385248546653,3.5145492553710938,3.437272071838379,0.9667192101478577,4.173351031000038,0.0016142168946624133,12097,12,1.4364119898860477
aapl,CeNN_DenseAblation,45,0.008440488018095493,0.01179623381916146,2.5383102893829346,2.5572071075439453,0.9779229760169983,11.99803583799985,0.0015388276251625324,12097,34,1.5757163803459011
aapl,CeNN_DenseAblation,46,0.00879694800823927,0.011797788061442029,2.644117832183838,2.621666431427002,0.9779171347618103,11.84079326400024,0.0015877522833786678,12097,34,1.467634086996051
aapl,CeNN_NoRecurrentAblation,42,0.008543978445231915,0.01131989286828337,2.6192991733551025,2.5896525382995605,0.9796699285507202,6.94679119500006,0.00034674200924615997,3841,43,1.212619599087962
aapl,CeNN_NoRecurrentAblation,43,0.008094748482108116,0.010942393776983021,2.4873697757720947,2.478325605392456,0.9810032844543457,6.1302384059999895,0.00034633789977779584,3841,38,1.1680491327507687
aapl,CeNN_NoRecurrentAblation,44,0.009326180443167686,0.012155445295491807,2.860614538192749,2.8181345462799072,0.9765579700469971,3.858579693000138,0.00038508447494378954,3841,24,1.1222351622501654
aapl,CeNN_NoRecurrentAblation,45,0.009845618158578873,0.012835958621394576,3.003619432449341,2.9584310054779053,0.9738597273826599,3.1942265760003465,0.00032753767146505406,3841,20,1.0670873591443524
aapl,CeNN_NoRecurrentAblation,46,0.0077570960856974125,0.01058082395587199,2.383960485458374,2.3921244144439697,0.9822379350662231,6.605873196000175,0.00033358904118391844,3841,41,1.1546721225438108
mackey_glass,CeNN,42,0.0015362321864813566,0.001969839637037498,0.17727409303188324,0.17729909718036652,0.9999290108680725,17.500338129999818,0.0021650821919059343,4545,31,6.341340304061305e-05
mackey_glass,CeNN,43,0.0015375595539808273,0.002041175519782299,0.17616546154022217,0.17604801058769226,0.9999237656593323,16.88010143700012,0.002167447488613289,4545,30,5.370763210521545e-05
mackey_glass,CeNN,44,0.001787294284440577,0.0022486870916725047,0.20633752644062042,0.2063630372285843,0.9999074935913086,16.255612980000024,0.0021652853881805557,4545,29,8.495828192930535e-05
mackey_glass,CeNN,45,0.0016300934366881847,0.002119481147027839,0.18096207082271576,0.18092869222164154,0.9999178051948547,19.18732963399998,0.0021476472604935884,4545,34,6.471054335374251e-05
mackey_glass,CeNN,46,0.0017385431565344334,0.0022696372816086103,0.19229060411453247,0.19223079085350037,0.9999057650566101,14.75230386200019,0.002154940639188078,4545,26,7.785528552111438e-05
mackey_glass,CeNN_DenseAblation,42,0.0016904245130717754,0.002215460358501084,0.19808056950569153,0.19821450114250183,0.9999101758003235,11.292338344999735,0.0015532226027195172,12097,33,8.167914971376636e-05
mackey_glass,CeNN_DenseAblation,43,0.0014036050997674465,0.0017377647082146978,0.16441932320594788,0.1642373502254486,0.9999447464942932,14.793328048999683,0.0015412203193595421,12097,43,5.1181814602127164e-05
mackey_glass,CeNN_DenseAblation,44,0.001086185104213655,0.0014020058534479957,0.12557931244373322,0.1255936622619629,0.9999640583992004,17.172576374000073,0.001755378995256575,12097,50,3.136926833186797e-05
mackey_glass,CeNN_DenseAblation,45,0.0012914029648527503,0.001667579854024399,0.150493323802948,0.15045621991157532,0.9999490976333618,15.515200194000045,0.0015958002280901328,12097,45,3.982421860980269e-05
mackey_glass,CeNN_DenseAblation,46,0.002074026968330145,0.0025974646661001866,0.24590955674648285,0.24581745266914368,0.9998765587806702,7.654944856999919,0.001522381278152755,12097,22,0.0001008878511389152
mackey_glass,CeNN_NoRecurrentAblation,42,0.001566294813528657,0.0020210612307773506,0.17295125126838684,0.17298480868339539,0.9999252557754517,5.892992368999785,0.0003408550229078713,3841,36,6.682137661430585e-05
mackey_glass,CeNN_NoRecurrentAblation,43,0.0015868352493271232,0.002073392803977094,0.18009360134601593,0.1800789088010788,0.9999213218688965,5.495499931000268,0.00034837557074532004,3841,34,7.02320046132497e-05
mackey_glass,CeNN_NoRecurrentAblation,44,0.0018065882613882422,0.0022670887584458252,0.2117084264755249,0.21186389029026031,0.9999059438705444,5.185561148000033,0.0003549600460786321,3841,32,8.846239377037688e-05
mackey_glass,CeNN_NoRecurrentAblation,45,0.0016164325643330812,0.002123278497159758,0.17943446338176727,0.17940612137317657,0.9999175071716309,5.961661641999854,0.0003526267119844526,3841,37,6.624273763528825e-05
mackey_glass,CeNN_NoRecurrentAblation,46,0.002029155381023884,0.002602484251649784,0.2489795684814453,0.2493431568145752,0.999876081943512,4.880758581000009,0.0003699885842895821,3841,30,0.00011403410722518206
jena_climate,CeNN,42,0.7570410370826721,1.0220449160542966,4.228414535522461,4.236256122589111,0.9600362181663513,22.038682563999828,0.002256884703223743,4545,39,0.012071468800838505
jena_climate,CeNN,43,0.7410353422164917,1.012073116028432,4.107831954956055,4.132508277893066,0.9608122110366821,23.18912869399992,0.0021777385841668957,4545,41,0.01162860672255712
jena_climate,CeNN,44,0.8727259635925293,1.2005217987299395,4.692915916442871,4.748695373535156,0.9448599815368652,10.670834632000151,0.00219620547955673,4545,19,0.013061765082446592
jena_climate,CeNN,45,0.8035510182380676,1.099271081954353,4.39808988571167,4.410202980041504,0.9537686705589294,19.834868305999862,0.0021737203192537997,4545,35,0.012325612961181573
jena_climate,CeNN,46,0.7773128151893616,1.0453314718169875,4.386598587036133,4.363597393035889,0.958194375038147,21.49578458299993,0.0021766061646307723,4545,38,0.01184451939272029
jena_climate,CeNN_DenseAblation,42,0.8230383396148682,1.1351135560924794,4.487913131713867,4.509729385375977,0.9507047533988953,8.398448740999811,0.0015989897258194801,12097,24,0.012393377455217498
jena_climate,CeNN_DenseAblation,43,0.7920602560043335,1.0916688465261657,4.368424892425537,4.382559299468994,0.9544059038162231,14.602818426999875,0.00152923287706351,12097,42,0.011543409133862172
jena_climate,CeNN_DenseAblation,44,0.790851891040802,1.089196727476972,4.29471492767334,4.372269630432129,0.9546121954917908,7.5871293730001526,0.0015915319637444145,12097,22,0.013467475339504225
jena_climate,CeNN_DenseAblation,45,0.8062348365783691,1.1249701707912005,4.404721260070801,4.417943000793457,0.9515817761421204,9.232507977000296,0.0015627888128266815,12097,27,0.012609447319326656
jena_climate,CeNN_DenseAblation,46,0.8304122686386108,1.1700507142413912,4.491926193237305,4.533520698547363,0.9476235508918762,8.91642378700044,0.0016648949771620439,12097,26,0.012589997977816634
jena_climate,CeNN_NoRecurrentAblation,42,0.8025918006896973,1.0710252490909673,4.440168857574463,4.472824573516846,0.9561139941215515,5.501693887999863,0.00035432420130555284,3841,34,0.012729591290865625
jena_climate,CeNN_NoRecurrentAblation,43,0.7634013295173645,1.0548353868575913,4.161206245422363,4.2127532958984375,0.9574307203292847,5.0173983269996825,0.0003636849315380999,3841,31,0.011637494001271469
jena_climate,CeNN_NoRecurrentAblation,44,0.7569684386253357,1.0371494896093798,4.0991902351379395,4.143019199371338,0.9588462710380554,6.9901387209997665,0.00034784132410955136,3841,43,0.011716294933908753
jena_climate,CeNN_NoRecurrentAblation,45,0.7905897498130798,1.0916429660253035,4.306112766265869,4.3446173667907715,0.9544080495834351,4.673900361000051,0.0003332248856309207,3841,29,0.012457170789795262
jena_climate,CeNN_NoRecurrentAblation,46,0.7406549453735352,1.0174579219881073,4.091963291168213,4.113004684448242,0.9603941440582275,7.300039755999933,0.00035646004578907046,3841,45,0.011300044965797238
