dataset,model,MAPE_mean,MAPE_std,RMSE_mean,RMSE_std,MAE_mean,MAE_std,n_runs
aapl,CeNN,2.754059171676636,0.4314645197527092,0.011792342048115086,0.001419901217122342,0.008949725423008204,0.0014030268749231293,5
aapl,CeNN_DenseAblation,2.704403877258301,0.4670955180598621,0.011912707393438826,0.0015336818357294083,0.008868455979973077,0.0014864718787537406,5
aapl,CeNN_NoRecurrentAblation,2.6709726810455323,0.257572355775709,0.011566902903604953,0.0009192744230979451,0.0087135243229568,0.000863621487282471,5
energy,CeNN,1.6879335403442384,0.06852514997581319,626.9912378364554,8.32495693002819,454.5281921386719,18.480321671198066,5
energy,CeNN_DenseAblation,1.9852843284606934,0.333960402378793,683.8049075976758,76.2878356565939,526.3945495605469,75.42557454989833,5
energy,CeNN_NoRecurrentAblation,1.859650444984436,0.19836991492242612,672.3682127848746,52.2863083951426,495.8384521484375,52.13951485780212,5
jena_climate,CeNN,4.3627701759338375,0.22014564478793158,1.0758484769168017,0.07743620441508044,0.7903332352638245,0.05165136863084273,5
jena_climate,CeNN_DenseAblation,4.40954008102417,0.08340908549272151,1.1222000030256418,0.033486907741120786,0.8085195183753967,0.01787708609238706,5
jena_climate,CeNN_NoRecurrentAblation,4.219728279113769,0.15027846558160102,1.0544222027142698,0.028835402542644707,0.7708412528038024,0.02528399203642937,5
mackey_glass,CeNN,0.18660595118999482,0.012743538825163877,0.00212976413542575,0.00012965019707110776,0.001645944523625076,0.0001146621310881278,5
mackey_glass,CeNN_DenseAblation,0.1768964171409607,0.0466310738537313,0.0019240550880576725,0.00047734069229759954,0.0015091289300471545,0.00038386170575078896,5
mackey_glass,CeNN_NoRecurrentAblation,0.19863346219062805,0.03192800128003749,0.0022174611084019623,0.00023393625040624198,0.0017210612539201974,0.00019694751472627603,5
