dataset,model,seed,run_type,MAE,RMSE,MAPE,sMAPE,R2,training_time_sec,inference_latency_ms,n_parameters,epochs_ran,best_val_loss
energy,SeasonalNaive,-1,deterministic,2073.65869140625,2898.1326746717446,7.399730205535889,7.3126091957092285,0.6411815881729126,0.0002437030000237428,0.00027819977171660135,0.0,0,
energy,ARIMA,-1,deterministic,9589.654897557877,10591.876804920888,38.148117572896666,30.49834942242309,-3.7927418060307723,0.44713297599992075,0.5104257716894073,,0,
energy,MLP,42,seeded,463.8486328125,626.3452522371348,1.727399468421936,1.7130087614059448,0.9832403063774109,5.987316852000049,0.0033390376712744926,19841.0,35,0.017206284017967328
energy,MLP,43,seeded,706.3013916015625,861.3479624983157,2.6660518646240234,2.61906099319458,0.9683046340942383,4.31481467499998,0.000610562785231482,19841.0,28,0.01841257534189416
energy,MLP,44,seeded,418.3008117675781,594.1263281070786,1.548528790473938,1.5404175519943237,0.9849202036857605,7.51658885400002,0.0006596746573774148,19841.0,50,0.01479252680603947
energy,MLP,45,seeded,421.0332946777344,585.5895800387844,1.5569170713424683,1.5492652654647827,0.9853504300117493,6.0272291169999335,0.0006066826482688634,19841.0,40,0.016348519761647497
energy,MLP,46,seeded,451.8880310058594,609.5069985242171,1.6665282249450684,1.6583055257797241,0.9841293096542358,7.58634548100008,0.0006296244291599129,19841.0,50,0.015694726025685668
energy,LSTM,42,seeded,489.49530029296875,672.5556436087649,1.852381944656372,1.8357396125793457,0.9806761145591736,9.004630576999944,0.0029793493151215886,17217.0,47,0.01941227337478527
energy,LSTM,43,seeded,451.6512145996094,658.6110147499812,1.677964210510254,1.6751275062561035,0.9814690947532654,9.425583064999955,0.002935628995312662,17217.0,50,0.01830991011645113
energy,LSTM,44,seeded,488.3683776855469,687.7151935939761,1.7850192785263062,1.781531810760498,0.9797951579093933,9.509483588999956,0.0029459212329258255,17217.0,50,0.019521025608160665
energy,LSTM,45,seeded,451.3564453125,653.0816612415326,1.6643600463867188,1.66249418258667,0.9817789793014526,9.419808111999828,0.002939643835604441,17217.0,50,0.019017875094764998
energy,LSTM,46,seeded,467.542236328125,631.3840699209951,1.7828084230422974,1.7643243074417114,0.9829695820808411,9.30604958799995,0.0029198664382935214,17217.0,49,0.020455938398039768
energy,TransformerEncoder,42,seeded,516.2723388671875,686.6454234173559,1.9264247417449951,1.9115705490112305,0.9798579812049866,21.82613113299999,0.0071280399541004845,67137.0,50,0.018750596525413648
energy,TransformerEncoder,43,seeded,493.2983703613281,669.2253450819088,1.828173041343689,1.8153773546218872,0.9808670282363892,18.768796406000092,0.006990906392802489,67137.0,43,0.018606296707210795
energy,TransformerEncoder,44,seeded,617.4290771484375,796.4519367168367,2.3534886837005615,2.3216888904571533,0.9729007482528687,8.235070607999887,0.007124114155260745,67137.0,19,0.023205331726265804
energy,TransformerEncoder,45,seeded,578.195068359375,737.5592772787825,2.168632984161377,2.150526523590088,0.97676020860672,10.016393233000144,0.007183319634647418,67137.0,23,0.02040448605215975
energy,TransformerEncoder,46,seeded,472.57763671875,643.4123143443868,1.7218570709228516,1.713106632232666,0.9823145270347595,12.28567213999986,0.007114952054881505,67137.0,28,0.020782267475234612
energy,CeNN,42,seeded,463.8836975097656,631.4436336681208,1.7362051010131836,1.7336530685424805,0.9829663634300232,23.012904601999935,0.0022634292236034526,4545.0,41,0.01766118181071111
energy,CeNN,43,seeded,469.1933288574219,635.017986949976,1.706959843635559,1.6998963356018066,0.982772946357727,26.462304041999914,0.0021823150685840987,4545.0,47,0.018131431225421175
energy,CeNN,44,seeded,464.16973876953125,628.664233713037,1.7443385124206543,1.7379056215286255,0.9831159710884094,26.931421850000106,0.002140643835666205,4545.0,48,0.016047706428383077
energy,CeNN,45,seeded,451.9091796875,626.624364152879,1.6773555278778076,1.6783442497253418,0.983225405216217,19.737896757000044,0.0021256073061530637,4545.0,35,0.018462373841820017
energy,CeNN,46,seeded,423.4850158691406,613.2059706982639,1.5748087167739868,1.5698554515838623,0.983936071395874,27.680257686999994,0.0022729600456974476,4545.0,49,0.017999669669994285
aapl,SeasonalNaive,-1,deterministic,0.029690120369195938,0.03863455182683545,9.330972671508789,9.32426929473877,0.7631869912147522,0.00037040300003354787,0.0004228344749241414,0.0,0,
aapl,ARIMA,-1,deterministic,0.19995601159086157,0.2151403982567795,59.647362301657324,86.33528581402697,-6.34340878742014,1.2408041040000626,1.4164430410959619,,0,
aapl,MLP,42,seeded,0.007294475566595793,0.009953151931484846,2.287353992462158,2.2780909538269043,0.9842827916145325,3.844953155999974,0.0006232945204592148,19841.0,25,0.05092326842714101
aapl,MLP,43,seeded,0.007586946245282888,0.01031678863214488,2.36228609085083,2.3490774631500244,0.9831133484840393,3.5843524000001707,0.0006484748860306496,19841.0,24,0.04974336574585842
aapl,MLP,44,seeded,0.007346120197325945,0.01015138929595393,2.283198118209839,2.2747435569763184,0.9836505055427551,3.958528415000046,0.0005950216893935461,19841.0,26,0.049327116758961766
aapl,MLP,45,seeded,0.007731493096798658,0.010548311180992616,2.4092090129852295,2.410068988800049,0.9823469519615173,2.4082873290001316,0.0005962591324669743,19841.0,16,0.05217056304016816
aapl,MLP,46,seeded,0.0077334507368505,0.010414886097359254,2.4045557975769043,2.3857977390289307,0.9827907085418701,4.999431834000006,0.0006640719176096574,19841.0,33,0.04989589780702123
aapl,LSTM,42,seeded,0.006999784614890814,0.009728814201587516,2.1770615577697754,2.1728169918060303,0.9849833250045776,9.516779445999873,0.002957843607157273,17217.0,50,0.19269130457126135
aapl,LSTM,43,seeded,0.007059063762426376,0.009732669118385294,2.1998276710510254,2.190796136856079,0.9849714040756226,9.495228494999992,0.0029962191780467527,17217.0,50,0.17459450065091783
aapl,LSTM,44,seeded,0.007040828000754118,0.009716900328943264,2.198424816131592,2.190239667892456,0.985020101070404,9.570807011999932,0.002932253424674838,17217.0,50,0.17845420755579003
aapl,LSTM,45,seeded,0.006995064672082663,0.009813980250092875,2.158907651901245,2.167642831802368,0.9847192764282227,9.488658720999865,0.0029040936071508703,17217.0,50,0.1978713834791311
aapl,LSTM,46,seeded,0.007237215060740709,0.009984439045102,2.2469167709350586,2.2405641078948975,0.9841838479042053,9.109783850999975,0.002912065068393361,17217.0,48,0.2082401132710012
aapl,TransformerEncoder,42,seeded,0.008513787761330605,0.011427438699293661,2.5877342224121094,2.561476707458496,0.9792818427085876,4.3569300029998885,0.006961834474864045,67137.0,10,1.3385937122262217
aapl,TransformerEncoder,43,seeded,0.01077720895409584,0.01408381374263967,3.4538090229034424,3.529965400695801,0.9685301780700684,3.935418724999863,0.007010616438448828,67137.0,9,1.3044229969382286
aapl,TransformerEncoder,44,seeded,0.008584819734096527,0.011407949596780539,2.678882598876953,2.6478312015533447,0.9793524146080017,4.335182196999995,0.006904984018061217,67137.0,10,1.3750620618728655
aapl,TransformerEncoder,45,seeded,0.009052973240613937,0.011915009516654437,2.756593942642212,2.717790126800537,0.977476179599762,4.30624792399999,0.006979732876885821,67137.0,10,1.1448228973729004
aapl,TransformerEncoder,46,seeded,0.007486341521143913,0.010378047091395311,2.301630973815918,2.2947988510131836,0.9829122424125671,4.316757514000074,0.006954409817461712,67137.0,10,1.0786191014007531
aapl,CeNN,42,seeded,0.008351863361895084,0.0110777179716551,2.601886510848999,2.5788488388061523,0.9805305004119873,10.19200177599987,0.002281358447476642,4545.0,18,1.1347633403992015
aapl,CeNN,43,seeded,0.007985593751072884,0.010819389348208574,2.4625985622406006,2.45661997795105,0.9814279675483704,21.551740007000035,0.002143332191692075,4545.0,38,1.1585907528476258
aapl,CeNN,44,seeded,0.011049372144043446,0.013784509254384496,3.428351879119873,3.3547558784484863,0.9698535203933716,12.927900095000041,0.0021428881280487855,4545.0,23,1.078406221333093
aapl,CeNN,45,seeded,0.009689337573945522,0.012778474585790225,2.9173583984375,2.8743348121643066,0.9740933179855347,11.206590879000032,0.0022767819633189978,4545.0,20,1.1509646267596898
aapl,CeNN,46,seeded,0.007672460284084082,0.010501619080537034,2.360100507736206,2.37347149848938,0.9825028777122498,23.137267012999928,0.0021461872146985167,4545.0,41,1.1558194029411035
mackey_glass,SeasonalNaive,-1,deterministic,0.38050174713134766,0.43769964703682257,48.47874450683594,42.46327590942383,-2.5053749084472656,0.0002712109999265522,0.00030960159808967144,0.0,0,
mackey_glass,ARIMA,-1,deterministic,0.7530647781468675,0.7885176290070651,96.27125364301928,59.79467180275657,-10.37640135972719,2.0041711819999364,2.287866646118649,,0,
mackey_glass,MLP,42,seeded,0.0008749220287427306,0.0011536795923570032,0.10424390435218811,0.10425231605768204,0.9999756217002869,5.192667689000018,0.000587980593472115,19841.0,34,2.1119080364379833e-05
mackey_glass,MLP,43,seeded,0.0013400265015661716,0.0016894209966496995,0.16746269166469574,0.16762085258960724,0.9999477863311768,3.797000381999851,0.0007433219178846931,19841.0,25,4.5199405056856836e-05
mackey_glass,MLP,44,seeded,0.0008563045412302017,0.0010858975133880224,0.10078683495521545,0.10072392225265503,0.9999784231185913,6.776006283000015,0.0006371860729722851,19841.0,45,1.8005472546584705e-05
mackey_glass,MLP,45,seeded,0.0009378473623655736,0.0012353441433338628,0.11075648665428162,0.11081436276435852,0.9999721050262451,4.522586145999867,0.0006392968035661439,19841.0,30,2.5370805035761024e-05
mackey_glass,MLP,46,seeded,0.0010818646987900138,0.0014314637193666318,0.135712668299675,0.1358821541070938,0.9999625086784363,4.375197214000082,0.0007022568494289044,19841.0,29,3.464988406319337e-05
mackey_glass,LSTM,42,seeded,0.0018082096939906478,0.0023234750610411367,0.20099668204784393,0.20078089833259583,0.9999012351036072,7.7286801990001095,0.0030278196347922467,17217.0,41,0.00010385995457389592
mackey_glass,LSTM,43,seeded,0.002272281562909484,0.003017600201544127,0.24086704850196838,0.2407989203929901,0.9998334050178528,5.863857198999995,0.002951318492965027,17217.0,31,0.0001496104237698351
mackey_glass,LSTM,44,seeded,0.0015201932983472943,0.001929129218666236,0.16955894231796265,0.16939841210842133,0.9999319314956665,8.478238317999967,0.0029066221462174793,17217.0,45,6.004818325371681e-05
mackey_glass,LSTM,45,seeded,0.0016215650830417871,0.002061379664495121,0.17351345717906952,0.17347531020641327,0.9999222755432129,9.519606193000072,0.0030115171234351423,17217.0,50,8.384275653432789e-05
mackey_glass,LSTM,46,seeded,0.002272485289722681,0.0030168846009609213,0.2380402684211731,0.23787343502044678,0.9998334646224976,9.358344945999988,0.003131071917668119,17217.0,50,0.0001507880125635503
mackey_glass,TransformerEncoder,42,seeded,0.001984383212402463,0.0025120653146032254,0.25865674018859863,0.258832722902298,0.9998845458030701,10.034072553999977,0.006875776255772291,67137.0,23,0.00011566780241472381
mackey_glass,TransformerEncoder,43,seeded,0.0015059253200888634,0.0019136971083229773,0.17074988782405853,0.1708318591117859,0.9999330043792725,15.727709603999983,0.006989408675913369,67137.0,36,6.065709489381074e-05
mackey_glass,TransformerEncoder,44,seeded,0.0019373835530132055,0.0024178566840628276,0.21515683829784393,0.2149544656276703,0.9998930096626282,7.836833779000017,0.006992369862959319,67137.0,18,9.264926692204816e-05
mackey_glass,TransformerEncoder,45,seeded,0.002640841994434595,0.0033112352335658173,0.3276077210903168,0.32857179641723633,0.999799370765686,6.548020585999893,0.006968910958798645,67137.0,15,0.0001795813519233239
mackey_glass,TransformerEncoder,46,seeded,0.001991541124880314,0.002511792856767141,0.23983360826969147,0.239430770277977,0.9998845458030701,8.326500812999939,0.006943085616649737,67137.0,19,0.00011182121566629835
mackey_glass,CeNN,42,seeded,0.0015362321864813566,0.001969839637037498,0.17727409303188324,0.17729909718036652,0.9999290108680725,17.731319643000006,0.002269342465631398,4545.0,31,6.341340304061305e-05
mackey_glass,CeNN,43,seeded,0.0015375595539808273,0.002041175519782299,0.17616546154022217,0.17604801058769226,0.9999237656593323,16.951196338000045,0.0021603584474743005,4545.0,30,5.370763210521545e-05
mackey_glass,CeNN,44,seeded,0.001787294284440577,0.0022486870916725047,0.20633752644062042,0.2063630372285843,0.9999074935913086,16.33173725100005,0.0021456244292922125,4545.0,29,8.495828192930535e-05
mackey_glass,CeNN,45,seeded,0.0016300934366881847,0.002119481147027839,0.18096207082271576,0.18092869222164154,0.9999178051948547,19.295196309000175,0.0021915445203683614,4545.0,34,6.471054335374251e-05
mackey_glass,CeNN,46,seeded,0.0017385431565344334,0.0022696372816086103,0.19229060411453247,0.19223079085350037,0.9999057650566101,14.68294013700006,0.0022377945205247773,4545.0,26,7.785528552111438e-05
jena_climate,SeasonalNaive,-1,deterministic,2.9744293689727783,3.7385710441488786,17.54538917541504,16.64029884338379,0.4652658700942993,0.0002750119999745948,0.000313940639240405,0.0,0,
jena_climate,ARIMA,-1,deterministic,4.733991392539492,5.980567161059938,25.235459524087318,26.856231767483436,-0.36839459147332754,0.44456983100008074,0.5074998070777177,,0,
jena_climate,MLP,42,seeded,0.6236852407455444,0.856893250474848,3.753035545349121,3.7123467922210693,0.9719081521034241,2.714710221999894,0.0006437705480460381,19841.0,18,0.011827281310356088
jena_climate,MLP,43,seeded,0.6261175274848938,0.858039789713275,3.653480052947998,3.6634645462036133,0.9718329310417175,4.074226433000149,0.0006064657535089738,19841.0,27,0.011280426190101675
jena_climate,MLP,44,seeded,0.6246460676193237,0.8415131765729074,3.787045955657959,3.732123613357544,0.972907543182373,6.165287560000024,0.0006352865296956798,19841.0,41,0.011013485557798828
jena_climate,MLP,45,seeded,0.6179347038269043,0.8464864930609173,3.6508657932281494,3.6357831954956055,0.9725863337516785,5.377695890000041,0.0006722054796709636,19841.0,35,0.011137169885582157
jena_climate,MLP,46,seeded,0.6086536645889282,0.8382253978428512,3.608208179473877,3.5967249870300293,0.9731188416481018,3.337481825000168,0.000648374429174219,19841.0,22,0.011346552055329084
jena_climate,LSTM,42,seeded,0.6177472472190857,0.8441581092305335,3.6429193019866943,3.623828649520874,0.9727369546890259,9.390766411000186,0.003011107306005024,17217.0,50,0.011300659538911921
jena_climate,LSTM,43,seeded,0.644606351852417,0.8763354532690901,3.770639657974243,3.7747409343719482,0.9706189632415771,7.9870487660000435,0.002916543379035011,17217.0,42,0.01160437407504235
jena_climate,LSTM,44,seeded,0.6479150652885437,0.8716993749789804,3.7989211082458496,3.7882566452026367,0.970928966999054,5.666378807000001,0.0029316678082001945,17217.0,30,0.011582447947668177
