dataset,model,MAE_mean,RMSE_mean,MAPE_mean,sMAPE_mean,R2_mean,training_time_sec_mean,inference_latency_ms_mean,n_parameters_mean,epochs_ran_mean,MAE_std,RMSE_std,MAPE_std,sMAPE_std,R2_std,training_time_sec_std,inference_latency_ms_std,n_parameters_std,epochs_ran_std,n_runs,RMSE_rank,MAPE_rank
aapl,ARIMA,0.19995601159086157,0.2151403982567795,59.647362301657324,86.33528581402697,-6.34340878742014,1.2408041040000626,1.4164430410959619,,0.0,,,,,,,,,,1,6.0,6.0
aapl,CeNN,0.008949725423008204,0.011792342048115086,2.754059171676636,2.727606201171875,0.9776816368103027,15.80309995399998,0.002198109589047003,4545.0,28.0,0.0014030268749231293,0.001419901217122342,0.4314645197527092,0.39869150877258436,0.005466964886475226,6.076922773435226,7.393514197790609e-05,0.0,10.700467279516348,5,3.0,3.0
aapl,LSTM,0.007066391222178936,0.00979536058882219,2.196227693557739,2.192411947250366,0.9847755908966065,9.436251504999927,0.002940494977084619,17217.0,49.6,9.926211596083474e-05,0.00011248556453472889,0.03296701389724925,0.028824605697726425,0.0003516434892710003,0.18533474073435574,3.7441301278254585e-05,0.0,0.8944271909999163,5,1.0,1.0
aapl,MLP,0.007538497168570757,0.010276905427587104,2.3493206024169924,2.3395557403564453,0.9832368612289428,3.759110626800066,0.0006254244291920084,19841.0,24.8,0.000208660655387861,0.0002317655300927929,0.06127335485774195,0.06160284682925477,0.0007535446424125288,0.927469286663076,3.0840028992304376e-05,0.0,6.058052492344384,5,2.0,2.0
aapl,SeasonalNaive,0.029690120369195938,0.03863455182683545,9.330972671508789,9.32426929473877,0.7631869912147522,0.00037040300003354787,0.0004228344749241414,0.0,0.0,,,,,,,,,,1,5.0,5.0
aapl,TransformerEncoder,0.008883026242256165,0.011842451729352724,2.755730152130127,2.7503724575042723,0.9775105714797974,4.250107272599962,0.006962315525144325,67137.0,9.8,0.0012034120777581255,0.0013724501055688329,0.42651175204871444,0.46437333844568546,0.005393433167651663,0.17696874575807087,3.8684543733549746e-05,0.0,0.44721359549995804,5,4.0,4.0
energy,ARIMA,9589.654897557877,10591.876804920888,38.148117572896666,30.49834942242309,-3.7927418060307723,0.44713297599992075,0.5104257716894073,,0.0,,,,,,,,,,1,6.0,6.0
energy,CeNN,454.5281921386719,626.9912378364554,1.6879335403442384,1.6839309453964233,0.9832033514976501,24.764956987599998,0.0021969910959408535,4545.0,44.0,18.480321671198066,8.32495693002819,0.06852514997581319,0.06834632092373162,0.0004433993911657665,3.3322123774972323,6.832157620096004e-05,0.0,5.916079783099616,5,1.0,1.0
energy,LSTM,469.68271484375,660.66951662305,1.7525067806243897,1.7438434839248658,0.9813377857208252,9.333110986199927,0.002944081963451608,17217.0,49.2,18.75674107009411,21.16718583874209,0.07949330468575276,0.07352612968949333,0.0011929126632860428,0.19736164172575776,2.1935760266290267e-05,0.0,1.3038404810405297,5,3.0,2.0
energy,MLP,492.27443237304686,655.3832242811061,1.8330850839614867,1.816011619567871,0.981188976764679,6.286458995800013,0.0011691164382624333,19841.0,40.6,121.23739420890007,116.1818245300298,0.4716951742550504,0.45482821064626,0.007247405470148857,1.3460118705312298,0.0012132038848555197,0.0,9.581231653602789,5,2.0,3.0
energy,SeasonalNaive,2073.65869140625,2898.1326746717446,7.399730205535889,7.3126091957092285,0.6411815881729126,0.0002437030000237428,0.00027819977171660135,0.0,0.0,,,,,,,,,,1,5.0,5.0
energy,TransformerEncoder,535.5544982910156,706.6588593678541,1.999715304374695,1.982453989982605,0.9785400986671448,14.226412703999994,0.007108266438338529,67137.0,32.6,60.50853657126243,60.86781504747942,0.25772671521279833,0.24940717595304343,0.0037539315000484096,5.8261455502444885,7.087524619039545e-05,0.0,13.31540461270329,5,4.0,4.0
jena_climate,ARIMA,4.733991392539492,5.980567161059938,25.235459524087318,26.856231767483436,-0.36839459147332754,0.44456983100008074,0.5074998070777177,,0.0,,,,,,,,,,1,6.0,6.0
jena_climate,CeNN,0.7903332352638245,1.0758484769168017,4.3627701759338375,4.378252029418945,0.955534291267395,19.4286881722001,0.00227152442912733,4545.0,34.4,0.05165136863084273,0.07743620441508044,0.22014564478793158,0.23399611203161372,0.006562357298856894,5.051070503888467,9.861015437451348e-05,0.0,8.87693640846886,5,4.0,4.0
jena_climate,LSTM,0.6421519041061401,0.871584510378263,3.763348913192749,3.75587797164917,0.9709279417991639,7.253843838000057,0.002961219178106568,17217.0,38.4,0.014079126509952985,0.01686271516137664,0.07051731429984893,0.07639975555567836,0.0011166892223113008,1.5137176504730125,3.7634114817872806e-05,0.0,8.049844718999243,5,2.0,2.0
jena_climate,MLP,0.6202074408531189,0.8482316215329597,3.690527105331421,3.6680886268615724,0.972470760345459,4.333880386000056,0.0006412205480191748,19841.0,28.6,0.007165554814698776,0.008937721571826575,0.07573820512825095,0.05526539786386814,0.0005804093573504743,1.4252671092666043,2.3774223541965564e-05,0.0,9.396807968666806,5,1.0,1.0
jena_climate,SeasonalNaive,2.9744293689727783,3.7385710441488786,17.54538917541504,16.64029884338379,0.4652658700942993,0.0002750119999745948,0.000313940639240405,0.0,0.0,,,,,,,,,,1,5.0,5.0
jena_climate,TransformerEncoder,0.6960672736167908,0.9554121205916546,3.95949330329895,3.9594401359558105,0.9650499582290649,10.003927714199971,0.0069365025113725986,67137.0,23.0,0.01916132392670563,0.02986925726350766,0.09146151261932836,0.09387823865839284,0.0021536093229661693,2.592760780226779,0.00013606312075719113,0.0,6.041522986797286,5,3.0,3.0
